t,message
-1785059615.058,"6349.693:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.38; 6349.876:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6350.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.21; 6350.870:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059613.806,"6351.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.53; 6351.870:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059612.554,"6352.690:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.35; 6352.873:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059611.302,"6353.699:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.37; 6353.862:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059610.050,"6354.699:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.37; 6354.864:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6355.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.37; 6355.866:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059608.798,"6357.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.05"
-1785059607.545,"6357.858:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6358.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.05"
-1785059606.293,"6358.861:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6359.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.05"
-1785059605.041,"6359.852:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6360.690:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.05; 6360.854:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059603.789,"6361.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.94; 6361.855:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6362.689:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.94"
-1785059602.537,"6362.849:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6363.528:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6363.691:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.83"
-1785059601.285,"6363.851:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6364.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.90"
-1785059600.033,"6364.884:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6365.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.90; 6365.842:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059598.781,"6366.693:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.90; 6366.844:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6367.693:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.84"
-1785059597.529,"6367.835:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6368.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.84"
-1785059596.277,"6368.837:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6369.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.84; 6369.838:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059595.024,"6370.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.75; 6370.831:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059593.772,"6371.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.75; 6371.833:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6372.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.59"
-1785059592.505,"6372.834:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6373.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.62"
-1785059591.253,"6373.827:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6374.690:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.62; 6374.829:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059590.001,"6375.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.62; 6375.832:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059588.749,"6376.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.62; 6376.821:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059587.497,"6377.694:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.62; 6377.823:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6378.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.62"
-1785059586.245,"6378.825:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6379.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.53; 6379.816:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059584.993,"6380.692:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.53; 6380.817:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059583.740,"6381.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.53; 6381.819:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059582.488,"6382.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.46; 6382.831:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6383.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.30"
-1785059581.236,"6383.812:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6384.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.30; 6384.805:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059579.984,"6385.687:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.30; 6385.812:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059578.732,"6386.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.25; 6386.809:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059577.480,"6387.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.25; 6387.799:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059576.228,"6388.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.25; 6388.800:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6389.694:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.43; 6389.802:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059574.976,"6390.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.64; 6390.794:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059573.723,"6391.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.61; 6391.795:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059572.471,"6392.695:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.36; 6392.797:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059571.219,"6393.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.36; 6393.790:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6394.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.36; 6394.791:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059569.967,"6395.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.36; 6395.793:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059568.715,"6396.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.21; 6396.786:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059567.463,"6397.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.29; 6397.787:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059566.211,"6398.699:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.29; 6398.790:v15 BARO abs drop reason=degradedAccuracy acc=23.20; 6399.690:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.29; 6399.780:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059564.959,"6400.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.28; 6400.785:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059563.707,"6401.692:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.26; 6401.784:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
-1785059562.454,"6402.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.26; 6402.774:v15 BARO abs drop reason=degradedAccuracy acc=23.20"
