t,message
-1783873151.233,"1389.590:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873150.232,"1390.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.12"
-1783873149.232,"1391.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.11"
-1783873148.231,"1392.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873147.236,"1393.593:v13 REJECT(candidate) reason=shortWindowRise rise=0.11"
-1783873146.235,"1394.577:v13 REJECT(candidate) reason=shortWindowRise rise=0.08"
-1783873145.235,"1395.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.09"
-1783873144.234,"1396.591:v13 REJECT(candidate) reason=shortWindowRise rise=0.18"
-1783873143.233,"1397.590:v13 REJECT(candidate) reason=shortWindowRise rise=0.29"
-1783873142.233,"1398.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873141.232,"1399.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873138.221,"1402.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783873137.235,"1403.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.10"
-1783873136.235,"1404.589:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783873135.234,"1405.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783873134.234,"1406.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873133.233,"1407.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.15"
-1783873132.232,"1408.584:v13 REJECT(candidate) reason=shortWindowRise rise=-0.16"
-1783873131.232,"1409.589:v13 REJECT(candidate) reason=shortWindowRise rise=-0.18"
-1783873130.236,"1410.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.16"
-1783873129.236,"1411.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873127.235,"1413.592:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873126.234,"1414.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
-1783873125.234,"1415.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783873124.233,"1416.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873123.233,"1417.592:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873122.232,"1418.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873121.231,"1419.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783873120.236,"1420.591:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783873119.235,"1421.580:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873118.235,"1422.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873108.235,"1432.141:Absolute altitude watchdog restart: valueFrozen unchanged=11.5s relativeDelta=4.03m attempt=1; 1432.141:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=11.5s relativeDelta=4.03m attempt=1; 1432.578:v13 REJECT(candidate) reason=sensorWarmup"
-1783873100.235,"1440.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873096.233,"1444.424:Absolute altitude watchdog restart: valueFrozen unchanged=12.3s relativeDelta=1.05m attempt=2; 1444.425:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=12.3s relativeDelta=1.05m attempt=2; 1444.582:v13 REJECT(candidate) reason=sensorWarmup"
-1783873088.234,"1452.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873084.232,"1456.427:Absolute altitude watchdog restart: valueFrozen unchanged=12.0s relativeDelta=1.54m attempt=3; 1456.428:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=12.0s relativeDelta=1.54m attempt=3; 1456.587:v13 REJECT(candidate) reason=sensorWarmup"
-1783873076.233,"1464.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873072.235,"1468.394:Absolute altitude watchdog exhausted restarts; relativeDelta=25.52m"
-1783873056.232,"1484.591:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783873055.231,"1485.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.08"
-1783873054.236,"1486.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783873053.235,"1487.589:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873052.235,"1488.586:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873051.234,"1489.589:v13 REJECT(candidate) reason=shortWindowRise rise=-0.09"
-1783873050.234,"1490.589:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873049.233,"1491.591:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873045.236,"1495.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873044.235,"1496.586:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873043.235,"1497.584:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873042.234,"1498.585:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873041.234,"1499.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873040.233,"1500.586:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873039.233,"1501.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.14"
-1783873038.232,"1502.576:v13 REJECT(candidate) reason=shortWindowRise rise=0.08"
-1783873037.232,"1503.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873036.236,"1504.577:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783873035.236,"1505.585:v13 REJECT(candidate) reason=shortWindowRise rise=0.06"
-1783873034.235,"1506.576:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873033.205,"1507.584:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783873032.234,"1508.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.07"
-1783873031.234,"1509.577:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783873030.233,"1510.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.07"
-1783873029.232,"1511.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.09"
-1783873028.232,"1512.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873024.235,"1516.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.26"
-1783873023.234,"1517.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.18"
-1783873022.234,"1518.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.21"
-1783873021.233,"1519.576:v13 REJECT(candidate) reason=shortWindowRise rise=0.28"
-1783873020.233,"1520.576:v13 REJECT(candidate) reason=shortWindowRise rise=0.13"
-1783873019.232,"1521.576:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873018.232,"1522.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873017.236,"1523.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783873016.235,"1524.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873015.235,"1525.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.06"
-1783873014.234,"1526.585:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873013.234,"1527.577:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873012.233,"1528.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783873011.233,"1529.576:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873010.232,"1530.577:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783873009.232,"1531.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873008.236,"1532.575:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873006.235,"1534.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873004.234,"1536.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873003.234,"1537.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873002.233,"1538.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873001.232,"1539.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873000.232,"1540.577:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783872999.231,"1541.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783872998.236,"1542.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783872997.235,"1543.576:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783872995.234,"1545.577:v13 REJECT(candidate) reason=shortWindowRise rise=-0.17"
-1783872994.234,"1546.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783872993.233,"1547.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.09"
-1783872992.223,"1548.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.06"
-1783872991.232,"1549.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783872990.232,"1550.577:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783872989.231,"1551.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783872988.236,"1552.575:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783872986.235,"1554.575:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783872985.234,"1555.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783872984.233,"1556.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783872983.233,"1557.578:v13 REJECT(candidate) reason=shortWindowRise rise=-0.11"
